2020-08-09 20:48:24
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.02, 0.94, 0.67
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
----------------------------------------------------------------------------
A_create_legacy                       665634 ns       663316 ns          962
A_create_legacy                       664728 ns       660618 ns          962
A_create_legacy                       667191 ns       664482 ns          962
A_create_legacy                       670839 ns       669099 ns          962
A_create_legacy                       658012 ns       656200 ns          962
A_create_legacy                       665774 ns       664101 ns          962
A_create_legacy                       657977 ns       655859 ns          962
A_create_legacy                       656931 ns       656026 ns          962
A_create_legacy                       656852 ns       655597 ns          962
A_create_legacy                       656829 ns       654474 ns          962
A_create_legacy                       674605 ns       671757 ns          962
A_create_legacy                       666176 ns       664951 ns          962
A_create_legacy                       660635 ns       658375 ns          962
A_create_legacy                       683509 ns       681607 ns          962
A_create_legacy                       661213 ns       660118 ns          962
A_create_legacy                       661186 ns       659723 ns          962
A_create_legacy                       670444 ns       669074 ns          962
A_create_legacy                       753021 ns       751296 ns          962
A_create_legacy                       660317 ns       658988 ns          962
A_create_legacy                       764943 ns       762700 ns          962
A_create_legacy                       707029 ns       706010 ns          962
A_create_legacy                       669117 ns       667832 ns          962
A_create_legacy                       662869 ns       661536 ns          962
A_create_legacy                       665638 ns       663227 ns          962
A_create_legacy                       665348 ns       663323 ns          962
A_create_legacy                       678700 ns       673904 ns          962
A_create_legacy                       664894 ns       663894 ns          962
A_create_legacy                       662297 ns       661082 ns          962
A_create_legacy                       661508 ns       660346 ns          962
A_create_legacy                       663826 ns       662719 ns          962
A_create_legacy                       662048 ns       661309 ns          962
A_create_legacy                       660085 ns       659568 ns          962
A_create_legacy                       675987 ns       675253 ns          962
A_create_legacy                       673167 ns       671437 ns          962
A_create_legacy                       671349 ns       670715 ns          962
A_create_legacy                       662154 ns       661187 ns          962
A_create_legacy                       668805 ns       667350 ns          962
A_create_legacy                       661461 ns       660764 ns          962
A_create_legacy                       671339 ns       670540 ns          962
A_create_legacy                       669576 ns       668349 ns          962
A_create_legacy                       669531 ns       668894 ns          962
A_create_legacy                       664983 ns       664218 ns          962
A_create_legacy                       661539 ns       660967 ns          962
A_create_legacy                       658735 ns       656866 ns          962
A_create_legacy                       660781 ns       659583 ns          962
A_create_legacy                       668498 ns       666199 ns          962
A_create_legacy                       676880 ns       675026 ns          962
A_create_legacy                       665773 ns       664903 ns          962
A_create_legacy                       677347 ns       676554 ns          962
A_create_legacy                       657148 ns       656355 ns          962
A_create_legacy_mean                  670305 ns       668765 ns           50
A_create_legacy_median                665491 ns       663609 ns           50
A_create_legacy_stddev                 20210 ns        20104 ns           50
B_destruct_legacy                 14296188256185 ns   32258045455 ns            1
B_destruct_legacy                 14296189432066 ns   32258977056 ns            1
B_destruct_legacy                 14296190330788 ns   32259878478 ns            1
B_destruct_legacy                 14296191129916 ns   32260677395 ns            1
B_destruct_legacy                 14296191917233 ns   32261462315 ns            1
B_destruct_legacy                 14296192703463 ns   32262253237 ns            1
B_destruct_legacy                 14296193390193 ns   32262919235 ns            1
B_destruct_legacy                 14296194178286 ns   32263725221 ns            1
B_destruct_legacy                 14296194967592 ns   32264513442 ns            1
B_destruct_legacy                 14296195661697 ns   32265210149 ns            1
B_destruct_legacy                 14296196361132 ns   32265910251 ns            1
B_destruct_legacy                 14296197139187 ns   32266684308 ns            1
B_destruct_legacy                 14296198009709 ns   32267554526 ns            1
B_destruct_legacy                 14296198707301 ns   32268257290 ns            1
B_destruct_legacy                 14296199398065 ns   32268944170 ns            1
B_destruct_legacy                 14296200182204 ns   32269729714 ns            1
B_destruct_legacy                 14296200972165 ns   32270518062 ns            1
B_destruct_legacy                 14296201701604 ns   32271250609 ns            1
B_destruct_legacy                 14296202435319 ns   32271944710 ns            1
B_destruct_legacy                 14296203147817 ns   32272693760 ns            1
B_destruct_legacy                 14296203816439 ns   32273363010 ns            1
B_destruct_legacy                 14296204399323 ns   32273946664 ns            1
B_destruct_legacy                 14296204902591 ns   32274449139 ns            1
B_destruct_legacy                 14296205405619 ns   32274951554 ns            1
B_destruct_legacy                 14296205988477 ns   32275535017 ns            1
B_destruct_legacy                 14296206480832 ns   32276026726 ns            1
B_destruct_legacy                 14296207138482 ns   32276686073 ns            1
