2020-08-09 20:55:45
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.00, 1.00, 0.82
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
----------------------------------------------------------------------------
A_create_legacy                       695767 ns       687341 ns          995
A_create_legacy                       716036 ns       708799 ns          995
A_create_legacy                       692204 ns       688900 ns          995
A_create_legacy                       812499 ns       810916 ns          995
A_create_legacy                       776223 ns       774214 ns          995
A_create_legacy                       711455 ns       708916 ns          995
A_create_legacy                       703258 ns       697940 ns          995
A_create_legacy                       686111 ns       684239 ns          995
A_create_legacy                       714265 ns       712493 ns          995
A_create_legacy                       708515 ns       706019 ns          995
A_create_legacy                       704688 ns       702105 ns          995
A_create_legacy                       689433 ns       686531 ns          995
A_create_legacy                       702575 ns       699181 ns          995
A_create_legacy                       696364 ns       691975 ns          995
A_create_legacy                       697155 ns       693290 ns          995
A_create_legacy                       692867 ns       690536 ns          995
A_create_legacy                       700610 ns       694700 ns          995
A_create_legacy                       700304 ns       701084 ns          995
A_create_legacy                       691167 ns       689079 ns          995
A_create_legacy                       695039 ns       690408 ns          995
A_create_legacy                       689823 ns       688231 ns          995
A_create_legacy                       690402 ns       688690 ns          995
A_create_legacy                       689813 ns       688240 ns          995
A_create_legacy                       706737 ns       703898 ns          995
A_create_legacy                       704686 ns       702798 ns          995
A_create_legacy                       695067 ns       693460 ns          995
A_create_legacy                       710762 ns       709336 ns          995
A_create_legacy                       696616 ns       695213 ns          995
A_create_legacy                       722880 ns       722042 ns          995
A_create_legacy                       689491 ns       688069 ns          995
A_create_legacy                       697072 ns       695508 ns          995
A_create_legacy                       688457 ns       687590 ns          995
A_create_legacy                       696644 ns       692180 ns          995
A_create_legacy                       698884 ns       695997 ns          995
A_create_legacy                       696392 ns       693139 ns          995
A_create_legacy                       695737 ns       694851 ns          995
A_create_legacy                       688962 ns       688333 ns          995
A_create_legacy                       687766 ns       687574 ns          995
A_create_legacy                       684476 ns       683570 ns          995
A_create_legacy                       690309 ns       689507 ns          995
A_create_legacy                       682796 ns       682072 ns          995
A_create_legacy                       683688 ns       683102 ns          995
A_create_legacy                       685319 ns       684944 ns          995
A_create_legacy                       684199 ns       683113 ns          995
A_create_legacy                       686151 ns       685586 ns          995
