Benchmark,Time,CPU,Iterations
A_create_legacy,738437,736386,899
A_create_legacy,769045,761307,899
A_create_legacy,738578,732805,899
A_create_legacy,744484,742082,899
A_create_legacy,761785,755235,899
A_create_legacy,764891,759543,899
A_create_legacy,756002,754629,899
A_create_legacy,759184,757065,899
A_create_legacy,748778,746928,899
A_create_legacy,739701,738598,899
A_create_legacy,753249,751565,899
A_create_legacy,754619,752684,899
A_create_legacy,731813,730593,899
A_create_legacy,730280,729423,899
A_create_legacy,755604,753714,899
A_create_legacy,724477,723658,899
A_create_legacy,723958,723459,899
A_create_legacy,718483,717697,899
A_create_legacy,721922,720652,899
A_create_legacy,701959,701484,899
A_create_legacy,692960,692362,899
A_create_legacy,686357,685626,899
A_create_legacy,728406,727724,899
A_create_legacy,678274,677635,899
A_create_legacy,686889,677044,899
A_create_legacy,679426,678758,899
A_create_legacy,674031,673215,899
A_create_legacy,685491,684487,899
A_create_legacy,687137,686450,899
A_create_legacy,675309,674600,899
A_create_legacy,671366,670362,899
A_create_legacy,675552,673609,899
A_create_legacy,666284,665635,899
A_create_legacy,667393,666224,899
A_create_legacy,673450,672376,899
A_create_legacy,669528,668748,899
A_create_legacy,668563,667748,899
A_create_legacy,669755,668435,899
A_create_legacy,674107,673519,899
A_create_legacy,677298,676774,899
A_create_legacy,662767,662126,899
A_create_legacy,666835,666023,899
A_create_legacy,663169,662640,899
A_create_legacy,663707,662797,899
A_create_legacy,667123,666275,899
A_create_legacy,673708,672923,899
A_create_legacy,674187,672913,899
A_create_legacy,662231,661413,899
A_create_legacy,698422,696337,899
A_create_legacy,676899,674734,899
B_destruct_legacy,13873554087723,31604937340,1
B_destruct_legacy,13873555538327,31605923516,1
B_destruct_legacy,13873556099697,31606485611,1
B_destruct_legacy,13873556600122,31606976674,1
B_destruct_legacy,13873557168527,31607554432,1
B_destruct_legacy,13873557658604,31608043646,1
B_destruct_legacy,13873558227036,31608612936,1
B_destruct_legacy,13873558716984,31609102013,1
B_destruct_legacy,13873559214436,31609598962,1
B_destruct_legacy,13873559776856,31610162005,1
B_destruct_legacy,13873560265622,31610650094,1
B_destruct_legacy,13873560835236,31611220313,1
B_destruct_legacy,13873561322938,31611707281,1
B_destruct_legacy,13873561927278,31612313461,1
B_destruct_legacy,13873562513414,31612898712,1
B_destruct_legacy,13873563192694,31613575920,1
B_destruct_legacy,13873564064408,31614447442,1
B_destruct_legacy,13873564790767,31615174806,1
B_destruct_legacy,13873565520220,31615903505,1
B_destruct_legacy,13873566272096,31616655373,1
B_destruct_legacy,13873567028281,31617414057,1
B_destruct_legacy,13873567890212,31618273034,1
B_destruct_legacy,13873568592784,31618976254,1
B_destruct_legacy,13873569319286,31619702112,1
B_destruct_legacy,13873570077591,31620460861,1
B_destruct_legacy,13873570954563,31621337764,1
B_destruct_legacy,13873571764391,31622148158,1
B_destruct_legacy,13873572463448,31622847236,1
B_destruct_legacy,13873573192066,31623575586,1
B_destruct_legacy,13873574056727,31624438660,1
B_destruct_legacy,13873574886978,31625271521,1
B_destruct_legacy,13873575543491,31625926000,1
B_destruct_legacy,13873576263278,31626645534,1
B_destruct_legacy,13873577018155,31627403017,1
B_destruct_legacy,13873577842744,31628224992,1
B_destruct_legacy,13873578540637,31628922691,1
B_destruct_legacy,13873579272368,31629655912,1
B_destruct_legacy,13873580058962,31630445727,1
B_destruct_legacy,13873580965620,31631351514,1
B_destruct_legacy,13873581685465,31632068655,1
B_destruct_legacy,13873582368992,31632751413,1
B_destruct_legacy,13873583132744,31633520288,1
B_destruct_legacy,13873584025698,31634414357,1
B_destruct_legacy,13873584711412,31635093863,1
B_destruct_legacy,13873585370351,31635753163,1
B_destruct_legacy,13873586077340,31636461278,1
B_destruct_legacy,13873586920960,31637305063,1
B_destruct_legacy,13873587597040,31637982062,1
B_destruct_legacy,13873588387457,31638769818,1
B_destruct_legacy,13873589293388,31639676989,1
C_subscribe_legacy,13873611591382,31658432935,1
C_subscribe_legacy,13873629255064,31675930890,1
C_subscribe_legacy,13873645200867,31691872270,1
C_subscribe_legacy,13873658705330,31705368848,1
C_subscribe_legacy,13873673614376,31720293540,1
C_subscribe_legacy,13873694984636,31738209947,1
C_subscribe_legacy,13873707212555,31750437289,1
C_subscribe_legacy,13873720996011,31764180816,1
C_subscribe_legacy,13873736216821,31779400878,1
C_subscribe_legacy,13873750690466,31793866874,1
C_subscribe_legacy,13873762232837,31805249942,1
C_subscribe_legacy,13873777534510,31820548976,1
C_subscribe_legacy,13873792940121,31835955415,1
C_subscribe_legacy,13873805682528,31848685513,1
C_subscribe_legacy,13873818870622,31861789794,1
C_subscribe_legacy,13873835046640,31877211952,1
C_subscribe_legacy,13873850672113,31891853458,1
C_subscribe_legacy,13873861870417,31903052150,1
C_subscribe_legacy,13873877474052,31918669723,1
C_subscribe_legacy,13873892950490,31934131832,1
C_subscribe_legacy,13873905733176,31946911093,1
C_subscribe_legacy,13873919134902,31960322012,1
C_subscribe_legacy,13873934606388,31975794363,1
C_subscribe_legacy,13873949548217,31990730349,1
C_subscribe_legacy,13873960883977,32002066741,1
C_subscribe_legacy,13873975738090,32016926502,1
C_subscribe_legacy,13873991027580,32032228191,1
C_subscribe_legacy,13874004536607,32045699390,1
C_subscribe_legacy,13874017260412,32058434831,1
C_subscribe_legacy,13874032716167,32073790856,1
C_subscribe_legacy,13874048171760,32089254498,1
C_subscribe_legacy,13874059656434,32100735363,1
C_subscribe_legacy,13874072202698,32113287369,1
C_subscribe_legacy,13874087870875,32128841783,1
C_subscribe_legacy,13874102727292,32143430195,1
C_subscribe_legacy,13874114903776,32155614441,1
C_subscribe_legacy,13874130625297,32171330972,1
C_subscribe_legacy,13874146404523,32186999010,1
C_subscribe_legacy,13874158759695,32199238960,1
C_subscribe_legacy,13874173339299,32213829528,1
C_subscribe_legacy,13874190823169,32230442717,1
C_subscribe_legacy,13874204119131,32243729185,1
C_subscribe_legacy,13874217015563,32256634532,1
C_subscribe_legacy,13874232428104,32272045483,1
C_subscribe_legacy,13874247863396,32287480726,1
C_subscribe_legacy,13874259379756,32298989964,1
C_subscribe_legacy,13874274331719,32313933638,1
C_subscribe_legacy,13874289765427,32329361644,1
C_subscribe_legacy,13874303802722,32343397895,1
C_subscribe_legacy,13874316134325,32355732330,1
D_unsubscribe_legacy,13874419033090,32429694134,1
D_unsubscribe_legacy,13874436671592,32446879255,1
D_unsubscribe_legacy,13874471098670,32481313414,1
D_unsubscribe_legacy,13874491828292,32501194409,1
D_unsubscribe_legacy,13874532436783,32542218160,1
D_unsubscribe_legacy,13874547411019,32557205408,1
D_unsubscribe_legacy,13874578882377,32588669372,1
D_unsubscribe_legacy,13874600525066,32610319289,1
D_unsubscribe_legacy,13874630839680,32640473720,1
D_unsubscribe_legacy,13874654838997,32664602720,1
D_unsubscribe_legacy,13874681629545,32691398443,1
D_unsubscribe_legacy,13874708069131,32717607378,1
D_unsubscribe_legacy,13874741109981,32743429798,1
D_unsubscribe_legacy,13874771171773,32775738942,1
D_unsubscribe_legacy,13874810670620,32815937736,1
D_unsubscribe_legacy,13874830211405,32835446066,1
D_unsubscribe_legacy,13874853175274,32858436797,1
D_unsubscribe_legacy,13874882753465,32885950513,1
D_unsubscribe_legacy,13874907364886,32911601085,1
D_unsubscribe_legacy,13874932672002,32936729377,1
D_unsubscribe_legacy,13874959588501,32963711783,1
